model_id,display_name,provider,training_parameters_billion,training_parameters_audit,training_parameters_note,training_parameters_source_url,training_tokens_trillion,training_tokens_audit,training_tokens_note,training_tokens_source_url,training_regime,training_regime_audit,training_regime_note,training_regime_source_url,training_multimodal,training_multimodal_audit,training_multimodal_note,training_multimodal_source_url,training_hardware_class_proxy,training_hardware_audit,training_hardware_note,training_hardware_source_url,overall_audit_status,issue_fields,issue_count
gpt-5.4-pro,GPT-5.4-pro,openai,1800,project_proxy_anchored_to_release,"The cited provider page anchors the model family or release line, but not a literal published parameter count.",https://openai.com/index/introducing-gpt-5-4/,36.0000,project_prior_chinchilla,"The value is a project screening prior aligned with Chinchilla-style compute-optimal scaling, not a provider-published token count.",https://arxiv.org/abs/2203.15556,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://developers.openai.com/api/docs/models/gpt-5.4-pro,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
gpt-5.4-mini,GPT-5.4 mini,openai,95,project_proxy_anchored_to_release,"The cited provider page anchors the model family or release line, but not a literal published parameter count.",https://openai.com/index/introducing-gpt-5-4-mini-and-nano/,1.9000,project_prior_chinchilla,"The value is a project screening prior aligned with Chinchilla-style compute-optimal scaling, not a provider-published token count.",https://arxiv.org/abs/2203.15556,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://developers.openai.com/api/docs/models/gpt-5.4-mini,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
gpt-5.4-nano,GPT-5.4 nano,openai,95,project_proxy_anchored_to_release,"The cited provider page anchors the model family or release line, but not a literal published parameter count.",https://openai.com/index/introducing-gpt-5-4-mini-and-nano/,1.9000,project_prior_chinchilla,"The value is a project screening prior aligned with Chinchilla-style compute-optimal scaling, not a provider-published token count.",https://arxiv.org/abs/2203.15556,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://developers.openai.com/api/docs/models/gpt-5.4-nano,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
gpt-5.5,GPT-5.5,openai,2000,project_proxy_anchored_to_release,"The cited provider page anchors the model family or release line, but not a literal published parameter count.",https://openai.com/index/introducing-gpt-5-5/,40.0000,project_prior_chinchilla,"The value is a project screening prior aligned with Chinchilla-style compute-optimal scaling, not a provider-published token count.",https://arxiv.org/abs/2203.15556,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://developers.openai.com/api/docs/models/gpt-5.5,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
gpt-5.5-pro,GPT-5.5-pro,openai,2000,project_proxy_anchored_to_release,"The cited provider page anchors the model family or release line, but not a literal published parameter count.",https://openai.com/index/introducing-gpt-5-5/,40.0000,project_prior_chinchilla,"The value is a project screening prior aligned with Chinchilla-style compute-optimal scaling, not a provider-published token count.",https://arxiv.org/abs/2203.15556,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://developers.openai.com/api/docs/models/gpt-5.5-pro,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
claude-sonnet-4.6,Claude Sonnet 4.6,anthropic,400,project_proxy_anchored_to_release,"The cited provider page anchors the model family or release line, but not a literal published parameter count.",https://www.anthropic.com/news/claude-sonnet-4-6,8.0000,project_prior_chinchilla,"The value is a project screening prior aligned with Chinchilla-style compute-optimal scaling, not a provider-published token count.",https://arxiv.org/abs/2203.15556,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://platform.claude.com/docs/en/about-claude/models/overview,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
claude-opus-4.6,Claude Opus 4.6,anthropic,2000,project_proxy_anchored_to_release,"The cited provider page anchors the model family or release line, but not a literal published parameter count.",https://www.anthropic.com/news/claude-opus-4-6,40.0000,project_prior_chinchilla,"The value is a project screening prior aligned with Chinchilla-style compute-optimal scaling, not a provider-published token count.",https://arxiv.org/abs/2203.15556,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://platform.claude.com/docs/en/about-claude/models/overview,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
claude-opus-4.7,Claude Opus 4.7,anthropic,2000,project_proxy_anchored_to_release,"The cited provider page anchors the model family or release line, but not a literal published parameter count.",https://www.anthropic.com/news/claude-opus-4-7,40.0000,project_prior_chinchilla,"The value is a project screening prior aligned with Chinchilla-style compute-optimal scaling, not a provider-published token count.",https://arxiv.org/abs/2203.15556,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://platform.claude.com/docs/en/about-claude/models/overview,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
claude-mythos-preview,Claude Mythos Preview,anthropic,2600,project_proxy_anchored_to_release,"The cited provider page anchors the model family or release line, but not a literal published parameter count.",https://www.anthropic.com/project/glasswing,52.0000,project_prior_chinchilla,"The value is a project screening prior aligned with Chinchilla-style compute-optimal scaling, not a provider-published token count.",https://arxiv.org/abs/2203.15556,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://platform.claude.com/docs/en/about-claude/models/overview,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
gemini-3-pro,Gemini 3 Pro Preview,google,220,project_proxy_anchored_to_release,"The cited provider page anchors the model family or release line, but not a literal published parameter count.",https://ai.google.dev/gemini-api/docs/models/gemini-3-pro-preview,4.4000,project_prior_chinchilla,"The value is a project screening prior aligned with Chinchilla-style compute-optimal scaling, not a provider-published token count.",https://arxiv.org/abs/2203.15556,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://ai.google.dev/gemini-api/docs/models/gemini-3-pro-preview,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
gemini-3-flash,Gemini 3 Flash Preview,google,100,project_proxy_anchored_to_release,"The cited provider page anchors the model family or release line, but not a literal published parameter count.",https://ai.google.dev/gemini-api/docs/models/gemini-3-flash-preview,2.0000,project_prior_chinchilla,"The value is a project screening prior aligned with Chinchilla-style compute-optimal scaling, not a provider-published token count.",https://arxiv.org/abs/2203.15556,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://ai.google.dev/gemini-api/docs/models/gemini-3-flash-preview,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
gemini-3.1-pro,Gemini 3.1 Pro Preview,google,240,project_proxy_anchored_to_release,"The cited provider page anchors the model family or release line, but not a literal published parameter count.",https://ai.google.dev/gemini-api/docs/models/gemini-3.1-pro-preview,4.8000,project_prior_chinchilla,"The value is a project screening prior aligned with Chinchilla-style compute-optimal scaling, not a provider-published token count.",https://arxiv.org/abs/2203.15556,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://ai.google.dev/gemini-api/docs/models/gemini-3.1-pro-preview,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
gemini-3.1-flash-lite,Gemini 3.1 Flash-Lite Preview,google,40,project_proxy_anchored_to_release,"The cited provider page anchors the model family or release line, but not a literal published parameter count.",https://ai.google.dev/gemini-api/docs/models/gemini-3.1-flash-lite-preview,0.8000,project_prior_chinchilla,"The value is a project screening prior aligned with Chinchilla-style compute-optimal scaling, not a provider-published token count.",https://arxiv.org/abs/2203.15556,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://ai.google.dev/gemini-api/docs/models/gemini-3.1-flash-lite-preview,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
grok-4.20-reasoning,Grok 4.20 Reasoning,xai,650,project_proxy_anchored_to_release,"The cited provider page anchors the model family or release line, but not a literal published parameter count.",https://docs.x.ai/docs/release-notes,13.0000,project_prior_chinchilla,"The value is a project screening prior aligned with Chinchilla-style compute-optimal scaling, not a provider-published token count.",https://arxiv.org/abs/2203.15556,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://docs.x.ai/developers/models,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
grok-4.20-non-reasoning,Grok 4.20,xai,650,project_proxy_anchored_to_release,"The cited provider page anchors the model family or release line, but not a literal published parameter count.",https://docs.x.ai/docs/release-notes,13.0000,project_prior_chinchilla,"The value is a project screening prior aligned with Chinchilla-style compute-optimal scaling, not a provider-published token count.",https://arxiv.org/abs/2203.15556,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://docs.x.ai/developers/models,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
grok-4.1-fast-reasoning,Grok 4.1 Fast Reasoning,xai,120,project_proxy_anchored_to_release,"The cited provider page anchors the model family or release line, but not a literal published parameter count.",https://docs.x.ai/docs/release-notes,2.4000,project_prior_chinchilla,"The value is a project screening prior aligned with Chinchilla-style compute-optimal scaling, not a provider-published token count.",https://arxiv.org/abs/2203.15556,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://docs.x.ai/developers/models,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
grok-4.1-fast-non-reasoning,Grok 4.1 Fast,xai,120,project_proxy_anchored_to_release,"The cited provider page anchors the model family or release line, but not a literal published parameter count.",https://docs.x.ai/docs/release-notes,2.4000,project_prior_chinchilla,"The value is a project screening prior aligned with Chinchilla-style compute-optimal scaling, not a provider-published token count.",https://arxiv.org/abs/2203.15556,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://docs.x.ai/developers/models,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
deepseek-v4-pro,DeepSeek V4 Pro,deepseek,1600,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,https://api-docs.deepseek.com/news/news260424,32.0000,project_prior_chinchilla,"The value is a project screening prior aligned with Chinchilla-style compute-optimal scaling, not a provider-published token count.",https://arxiv.org/abs/2203.15556,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,no,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://api-docs.deepseek.com/quick_start/pricing,mixed_gpu_cluster,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
deepseek-v4-flash,DeepSeek V4 Flash,deepseek,284,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,https://api-docs.deepseek.com/news/news260424,5.6800,project_prior_chinchilla,"The value is a project screening prior aligned with Chinchilla-style compute-optimal scaling, not a provider-published token count.",https://arxiv.org/abs/2203.15556,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,no,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://api-docs.deepseek.com/quick_start/pricing,mixed_gpu_cluster,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
mistral-large-3,Mistral Large 3,mistral,675,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,https://docs.mistral.ai/models/mistral-large-3-25-12,13.5000,project_prior_chinchilla,"The value is a project screening prior aligned with Chinchilla-style compute-optimal scaling, not a provider-published token count.",https://arxiv.org/abs/2203.15556,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://docs.mistral.ai/models/mistral-large-3-25-12,mixed_gpu_cluster,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
mistral-medium-3.5,Mistral Medium 3.5,mistral,128,third_party_estimate,"The retained parameter value is estimated from a third-party taxonomy or report, not from the provider's own model page.",https://artificialanalysis.ai/models,2.5600,project_prior_chinchilla,"The value is a project screening prior aligned with Chinchilla-style compute-optimal scaling, not a provider-published token count.",https://arxiv.org/abs/2203.15556,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://docs.mistral.ai/models/model-cards/mistral-medium-3-5-26-04/,mixed_gpu_cluster,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
mistral-small-4,Mistral Small 4,mistral,119,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,https://docs.mistral.ai/models/mistral-small-4-0-26-03,2.3800,project_prior_chinchilla,"The value is a project screening prior aligned with Chinchilla-style compute-optimal scaling, not a provider-published token count.",https://arxiv.org/abs/2203.15556,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://docs.mistral.ai/models/mistral-small-4-0-26-03,mixed_gpu_cluster,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
devstral-2,Devstral 2,mistral,123,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,https://docs.mistral.ai/models/devstral-2-25-12,2.4600,project_prior_chinchilla,"The value is a project screening prior aligned with Chinchilla-style compute-optimal scaling, not a provider-published token count.",https://arxiv.org/abs/2203.15556,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,no,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://docs.mistral.ai/models/devstral-2-25-12,mixed_gpu_cluster,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
ministral-3-14b,Ministral 3 14B,mistral,14,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,https://docs.mistral.ai/models/ministral-3-14b-25-12,0.2800,project_prior_chinchilla,"The value is a project screening prior aligned with Chinchilla-style compute-optimal scaling, not a provider-published token count.",https://arxiv.org/abs/2203.15556,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://docs.mistral.ai/models/ministral-3-14b-25-12,mixed_gpu_cluster,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
llama-4-scout,Llama 4 Scout,meta,109,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,https://huggingface.co/meta-llama/Llama-4-Scout-17B-16E-Instruct,40.0000,exact_in_cited_source,The training-token count is marked as documented and should appear explicitly in the cited source.,https://huggingface.co/meta-llama/Llama-4-Scout-17B-16E-Instruct,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://huggingface.co/meta-llama/Llama-4-Scout-17B-16E-Instruct,standard_gpu_cluster,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
llama-4-maverick,Llama 4 Maverick,meta,400,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,https://huggingface.co/meta-llama/Llama-4-Maverick-17B-128E-Instruct,22.0000,exact_in_cited_source,The training-token count is marked as documented and should appear explicitly in the cited source.,https://huggingface.co/meta-llama/Llama-4-Maverick-17B-128E-Instruct,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://huggingface.co/meta-llama/Llama-4-Maverick-17B-128E-Instruct,standard_gpu_cluster,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
qwen3-32b,Qwen3 32B,alibaba,32.8,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,https://huggingface.co/Qwen/Qwen3-32B,0.6560,project_prior_chinchilla,"The value is a project screening prior aligned with Chinchilla-style compute-optimal scaling, not a provider-published token count.",https://arxiv.org/abs/2203.15556,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,no,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://huggingface.co/Qwen/Qwen3-32B,standard_gpu_cluster,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
qwen3-235b-a22b,Qwen3 235B A22B,alibaba,235,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,https://huggingface.co/Qwen/Qwen3-235B-A22B,4.7000,project_prior_chinchilla,"The value is a project screening prior aligned with Chinchilla-style compute-optimal scaling, not a provider-published token count.",https://arxiv.org/abs/2203.15556,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,no,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://huggingface.co/Qwen/Qwen3-235B-A22B,standard_gpu_cluster,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
grok-4.3,Grok 4.3,xai,650,project_proxy_anchored_to_release,"The cited provider page anchors the model family or release line, but not a literal published parameter count.",https://docs.x.ai/developers/models,13.0000,project_prior_chinchilla,"The value is a project screening prior aligned with Chinchilla-style compute-optimal scaling, not a provider-published token count.",https://arxiv.org/abs/2203.15556,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://docs.x.ai/developers/models,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
gemini-3.1-flash-live,Gemini 3.1 Flash Live Preview,google,100,project_proxy_anchored_to_release,"The cited provider page anchors the model family or release line, but not a literal published parameter count.",https://ai.google.dev/gemini-api/docs/models/gemini-3.1-flash-live-preview,2.0000,project_prior_chinchilla,"The value is a project screening prior aligned with Chinchilla-style compute-optimal scaling, not a provider-published token count.",https://arxiv.org/abs/2203.15556,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://ai.google.dev/gemini-api/docs/models/gemini-3.1-flash-live-preview,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
gemini-3.1-flash-tts,Gemini 3.1 Flash TTS Preview,google,40,project_proxy_anchored_to_release,"The cited provider page anchors the model family or release line, but not a literal published parameter count.",https://ai.google.dev/gemini-api/docs/models/gemini-3.1-flash-tts-preview,0.8000,project_prior_chinchilla,"The value is a project screening prior aligned with Chinchilla-style compute-optimal scaling, not a provider-published token count.",https://arxiv.org/abs/2203.15556,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://ai.google.dev/gemini-api/docs/models/gemini-3.1-flash-tts-preview,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
